Timestamp,Age,Gender,EducationLevel,Monthly_income,The_name_of_your_current_mobile_service_providereg.ChinaMobi,Why_choose_your_present_mobile_service_provider,How_long_have_you_been_using_your_current_mobile_service_provide,Have_you_changed_your_mobile_service_provider_before,The_network_service_quality_of_my_former_provider_is_not_gooden,The_difference_between_the_services_received_from_my_formermo,The_technology_innovation_of_my_former_mobile_service_providerh,The_customer_care_of_my_former_mobile_service_provider_is_not_go,The_price_of_my_former_mobile_service_provider_is_not_reasonable,The_loyalty_benefit_does_not_change_if_use_the_service_longer,The_value_added_services_of_my_former_mobile_service_provider_is,My_family_or_my_friends_are_using_my_current_service_provideran,The_promotion_of_my_current_service_provider_attracted_meandga,What_is_the_main_reason_for_your_switching,The_quality_of_network_of_my_current_mobile_service_provider_is,The_difference_between_the_service_Ireceived_from_my_currentmo,The_customer_care_of_my_current_mobile_service_provider_is_good,My_mobile_service_provider_has_improved_its_technology_enoughco,The_switching_cost_is_high.including_non_money_costeg.Idid,The_loyalty_benefit_becomes_higher_if_Iuse_the_service_longer,The_price_is_reasonable,The_value_added_services_of_my_current_mobile_service_provideri,What_is_the_main_reason_that_you_are_still_using_the_currentpro,Whats_the_like_lihood_that_you_will_switch_by_the_end_of_the_cur,Why_will_you_switch_to_another_mobile_service_provider_in_the_fu
2020/04/29 12:20:50 AM GMT+8,22,2,2,2,China Mobile Hong Kong,College promotion,3,2, , , , , , , , , , ,3,3,3,2,4,2,2,2,Not care to change,Somewhat likely,Price
2020/04/29 12:57:20 AM GMT+8,21,1,1,2,China Mobile Hong Kong,The value-added services it provides compared with other providers,3,1,4,5,4,4,3,4,4,4,4,Price,4,4,4,4,4,4,4,4,Convenient,Somewhat likely,Technology;Customer care;Loyalty benefits;Value-added services
2020/04/29 2:56:31 AM GMT+8,21,2,1,1,China Mobile Hong Kong,College promotion,3,2, , , , , , , , , , ,5,4,5,4,3,4,4,4,Lazy to change,Somewhat likely,Technology
2020/04/29 9:46:14 AM GMT+8,23,2,2,2,3 Hong Kong,Family or friends' impact,4,1,2,2,1,2,3,2,2,5,4,Unlimited data and speed,4,4,4,4,4,5,2,3,Unlimited data and speed,Not at all, 
2020/04/29 4:22:07 PM GMT+8,22,1,1,2,China Mobile Hong Kong,College promotion,3,2, , , , , , , , , , ,4,4,4,3,5,2,4,4,lazy,Somewhat likely,Price;Promotion;Network quality
2020/04/29 6:14:31 PM GMT+8,23,2,1,2,China Mobile Hong Kong,College promotion,3,2, , , , , , , , , , ,5,5,5,5,5,5,5,5,Really nice service,Likely,Price;Promotion;Technology
2020/04/29 6:32:51 PM GMT+8,23,2,2,1,China Mobile Hong Kong,Dont want to change,3,2, , , , , , , , , , ,3,4,3,3,2,2,2,2,The contract is on yealy basis,Likely,Price;Network quality;Customer care
2020/04/29 7:24:25 PM GMT+8,23,2,1,1,China Mobile Hong Kong,College promotion,3,2, , , , , , , , , , ,4,4,3,3,5,2,4,3,Switching time cost,Not at all, 
2020/04/30 5:23:01 PM GMT+8,27,1,1,3,China Mobile Hong Kong,College promotion,4,2, , , , , , , , , , ,3,4,3,3,5,3,5,3,sociality cost,Somewhat likely,Price;Network quality;Technology
2020/04/30 5:25:55 PM GMT+8,20,2,2,2,China Mobile Hong Kong,College promotion,2,2, , , , , , , , , , ,4,4,2,3,3,2,2,3,lazy,Somewhat likely,Price;Network quality;Technology
2020/04/30 5:27:16 PM GMT+8,23,1,2,2,China Mobile Hong Kong,The value-added services it provides compared with other providers,2,2, , , , , , , , , , ,5,4,4,4,3,3,3,4,Don鈥檛 wanna change,Somewhat likely,Network quality
2020/04/30 5:29:25 PM GMT+8,24,1,4,1,China Mobile Hong Kong,College promotion,2,2, , , , , , , , , , ,5,5,5,5,5,5,5,5,quick,Somewhat likely,Network quality
2020/04/30 5:29:27 PM GMT+8,22,2,1,2,CSL,The value-added services it provides compared with other providers,2,1,4,4,3,4,3,4,4,4,3,China mobile rubbish,3,3,4,3,3,3,4,4,Contract,Surely,Leave hk
2020/04/30 5:31:42 PM GMT+8,26,1,1,2,China Mobile Hong Kong,College promotion,4,2, , , , , , , , , , ,5,3,2,2,3,1,4,2,Cheap,Not at all, 
2020/04/30 5:35:56 PM GMT+8,22,2,1,2,Others,College promotion,2,1,4,2,4,4,2,4,3,4,3,cheep,4,4,3,4,2,4,4,4,cheep,Somewhat likely,Price;Network quality;Customer care
2020/04/30 5:36:27 PM GMT+8,20,1,1,4,3 Hong Kong,Family or friends' impact,3,2, , , , , , , , , , ,3,2,3,3,4,3,3,3,"For my opinion, it seems that there are no obvious difference among different mobile service provider. So it is not wise to waste time to switch to another provider.",Not at all, 
2020/04/30 5:36:41 PM GMT+8,21,2,2,2,CSL,College promotion,1,1,5,5,3,4,5,5,4,3,3,termination due to the exchange program,3,3,3,4,3,1,2,3,2-year contract at least,Surely,Price
2020/04/30 5:38:58 PM GMT+8,22,2,1,2,China Mobile Hong Kong,College promotion,3,2, , , , , , , , , , ,4,5,4,5,4,4,3,4,Lazy,Somewhat likely,Price;Promotion
2020/04/30 5:39:11 PM GMT+8,22,2,1,1,China Mobile Hong Kong,College promotion,3,2, , , , , , , , , , ,4,4,2,4,3,4,4,3,lazy,Somewhat likely,Price;Network quality;Customer care
2020/04/30 5:40:46 PM GMT+8,23,1,4,2,China Mobile Hong Kong,College promotion,3,2, , , , , , , , , , ,4,3,3,3,5,2,3,3,Too lazy to change,Likely,Price
2020/04/30 5:41:22 PM GMT+8,20,1,2,2,China Mobile Hong Kong,College promotion,2,2, , , , , , , , , , ,3,4,3,3,5,1,4,3,laziness,Not at all, 
2020/04/30 5:42:33 PM GMT+8,22,2,1,2,China Mobile Hong Kong,The value-added services it provides compared with other providers,3,2, , , , , , , , , , ,3,3,3,3,3,3,3,3,lazy to change,Somewhat likely,Price;Promotion;Value-added services
2020/04/30 5:42:34 PM GMT+8,18,1,1,4,China Mobile Hong Kong,College promotion,3,2, , , , , , , , , , ,5,2,3,3,3,4,3,4,鎳掑緱鎹?,Surely,Price;Network quality
2020/04/30 5:43:55 PM GMT+8,21,2,1,2,China Mobile Hong Kong,College promotion,3,2, , , , , , , , , , ,4,3,3,3,4,2,3,3,Lazy,Somewhat likely,Price;Promotion;Network quality
2020/04/30 5:44:22 PM GMT+8,19,2,2,2,China Mobile Hong Kong,College promotion,2,2, , , , , , , , , , ,4,4,3,3,4,2,3,4,I'm too lazy to change the provider,Somewhat likely,Price;Network quality;Value-added services
2020/04/30 5:44:44 PM GMT+8,21,1,2,2,China Mobile Hong Kong,College promotion,2,2, , , , , , , , , , ,4,4,4,4,4,4,4,4,convenience,Somewhat likely,Price;Network quality;Technology
